"nut","k","p","epsilon","U:0","U:1","U:2","vtkValidPointMask","Points:0","Points:1","Points:2"
2.54373e+01,2.53060e+00,-1.62986e+01,2.90481e-02,1.56440e+01,-1.26982e-01,2.37546e+00,1,5.81636e+05,4.78566e+06,1.08945e+03
2.37162e+01,2.55548e+00,-1.71153e+01,2.77924e-02,1.57432e+01,-4.33876e-02,2.36027e+00,1,5.81636e+05,4.78567e+06,1.09200e+03
2.42919e+01,2.54858e+00,-1.90045e+01,3.02951e-02,1.58328e+01,-1.94844e-02,2.32770e+00,1,5.81644e+05,4.78567e+06,1.09201e+03
2.23407e+01,2.55665e+00,-2.12401e+01,2.96011e-02,1.60173e+01,3.14420e-02,2.23311e+00,1,5.81653e+05,4.78567e+06,1.09276e+03
2.18645e+01,2.49979e+00,-4.02501e+01,3.04338e-02,1.64310e+01,-6.52144e-02,-1.71351e+00,1,5.81862e+05,4.78572e+06,1.08964e+03
2.11010e+01,2.48135e+00,-3.94227e+01,3.13257e-02,1.63172e+01,-6.56486e-02,-1.82992e+00,1,5.81869e+05,4.78572e+06,1.08682e+03
1.99012e+01,2.46986e+00,-3.94765e+01,3.18581e-02,1.63056e+01,-2.66107e-02,-1.84988e+00,1,5.81869e+05,4.78571e+06,1.08710e+03
2.15013e+01,2.53277e+00,-4.06530e+01,2.89037e-02,1.64834e+01,-2.73204e-02,-1.67762e+00,1,5.81860e+05,4.78571e+06,1.09256e+03
2.19966e+01,2.51708e+00,-4.06888e+01,2.96274e-02,1.64887e+01,-5.25981e-02,-1.66070e+00,1,5.81859e+05,4.78572e+06,1.09156e+03
2.94861e+01,2.46898e+00,-3.37752e+01,2.24158e-02,1.67802e+01,1.89639e-01,9.40329e-01,1,5.81733e+05,4.78563e+06,1.11644e+03
3.05090e+01,2.46654e+00,-3.47259e+01,2.14050e-02,1.68374e+01,2.12601e-01,8.04560e-01,1,5.81741e+05,4.78563e+06,1.11854e+03
2.98866e+01,2.45780e+00,-3.47903e+01,2.17385e-02,1.68167e+01,1.90016e-01,8.30063e-01,1,5.81741e+05,4.78562e+06,1.11613e+03
2.89508e+01,2.46002e+00,-3.36856e+01,2.26142e-02,1.67526e+01,1.59769e-01,9.72759e-01,1,5.81733e+05,4.78562e+06,1.11416e+03
3.08750e+01,2.45813e+00,-3.56058e+01,2.08957e-02,1.68552e+01,2.26378e-01,6.24993e-01,1,5.81751e+05,4.78563e+06,1.12043e+03
3.02675e+01,2.45512e+00,-3.54775e+01,2.13176e-02,1.68393e+01,2.10851e-01,6.90001e-01,1,5.81749e+05,4.78562e+06,1.11822e+03
2.94740e+01,2.52342e+00,-3.04091e+01,2.36784e-02,1.66521e+01,2.38227e-01,1.29986e+00,1,5.81702e+05,4.78566e+06,1.11444e+03
3.01501e+01,2.52236e+00,-3.14961e+01,2.30542e-02,1.67182e+01,2.61152e-01,1.18553e+00,1,5.81709e+05,4.78566e+06,1.11644e+03
2.94560e+01,2.51098e+00,-3.10065e+01,2.34572e-02,1.66770e+01,2.20666e-01,1.24064e+00,1,5.81709e+05,4.78565e+06,1.11531e+03
2.89228e+01,2.51582e+00,-3.02819e+01,2.40134e-02,1.66325e+01,2.13572e-01,1.32332e+00,1,5.81703e+05,4.78566e+06,1.11358e+03
