1034.24698035 	0 	0 	0
1037.23174214 	0 	0 	0
1043.14710869 	0 	0 	0
1047.49081637 	0 	0 	0
1048.07625134 	0 	0 	0
1052.37567457 	0 	0 	0
1063.38831743 	0 	0 	0
1077.69955874 	0 	0 	0
1098.78245234 	0 	0 	0
1126.69824404 	0 	0 	0
1154.45236013 	0 	0 	0
1182.14230643 	0 	0 	0
1209.74708512 	0 	0 	0
1237.34552102 	0 	0 	0
1265.00117461 	0 	0 	0
1292.65039719 	0 	0 	0
1320.29859604 	0 	0 	0
1347.94615424 	0 	0 	0
1375.59309507 	0 	0 	0
1403.23965402 	0 	0 	0
1430.88585068 	0 	0 	0
1458.53169249 	0 	0 	0
